Emotion,Text
anger,dear jelema anu hese dibejaan cik atuh anjir ngajedog weh di imah sateh tong nyiar nyiar panyakit kehed tong nambah gawean perawat rumah sakit anjir karunya sia nyaah ka awak sorangan hah ngajedog weh di imah lalajo india tah di antepe sinteron bawang bawangan
fear,tadi geus asup angin kieu mh sieun bawaana ge ti mikirna ka corona kieu ajg
joy,mantepna mah kieu bray barudak saling ngartikeun ngeunah seuri jeung bebas ngan didieu tempatna
sadness,ngucur cai panon aing ninggali tl loba korban 
anger,naon aisia goblog gelo pisan sing bener atuh bagong teh eeuh anying kehed siamah ku aing rek diduruk eta heuncet maneh belegug pisan jd jelema teh koplok 
fear,tuh nya padahal saya mah aslina asa melang tur hariwang lain nanaon soalna didinya pan didapuk janten duta rekonsiliasi antara 01 02 lamun ujug2 kainjek vaksin palsu pan nu lain jadi sarieun bade rekonsiliasi pajar duta na oge diracun vaksin palsu
sadness,asa teu wasa ninggal mamah n bpak qtu
fear,keeng ngadenge lengser wengi na
fear,duh aing hariwang nempo ava sia
sadness,cai panon ojol ojol ngeclak ningali foto si taeun tunangan jeung batur 
sadness,pulang pulang kosan banjir meuni makin dadas wae ieu hate 
sadness,hayo atuh umis enggalan uih karunya mang brian galau milarian umis meuni atuh abur2an beger kitu umis teh
anger,goblog sia anjing abu janda setan modar sia goblog
fear,bosen siga kieu hayang kaluar tapi sieun ih
fear,asaan mah maen bola teh pergantian teh 3x tanpa batas waktu di persib mah asa hariwang nempo pergantian na teh
fear,di gebugan serem kieu njirr naon sateh maen gebugan wae
fear,grgr corona gw jd rada males buka twitter iyasih cpt bgt dpt info baru tp atuhlah lieur aing ningalian corona corona corona wae jd sieun 
anger,bodo sateh meni hayang nakol geus nyaho di titah cicing di imah kehed 
joy,nikmat hari pertama menemukan campuran nikmat cincau susu alhmdulillah nikmat pisan gusti
fear,wengi keeng ngadenge lengser na
anger,naha sih jelema teh pinafsueun
joy,gaya eung nu cair mah beda asa sumbringah ktu
fear,sieun ngadenge sora bangkong jam sakieu
joy,alhamdulillah ya allah nuhun gusti persib menang nuhun buat semua pemain pelatih dan official yg udah kerja keras nuhun nuhun gusti 
fear,ehh aratos ath meni sarieun kieu ku uka hapus ieu
sadness,dugi ka danget kameumeut angger montel dina rasa akang walakaya nyingkahannana ayeuna
sadness,asli na da kaduhung mah ayna coba mun baheula teu diwaro mah adem ayem weh mreun nepi kaayeuna m0al aya pikiran
anger,maaf km sy ungpol wkwk ms mending g sy blok bangsat ngeselin pisan
joy,abdi tiasa diajar tina komentar2 nu aya di website fersib teh meuni bungah hate abdi
anger,dear jelema anu hese dibejaan cik atuh anjir ngajedog weh di imah sateh tong nyiar nyiar panyakit kehed tong nambah gawean perawat rumah sakit anjir karunya sia teu nyaah ka awak sorangan hah ngajedog weh di imah lalajo india tah di antepe sinteron bawang bawangan
sadness,teuing har aing mah sedih ka maneh duaan awalna tapi nanaon sugan jodoh maneh leuwih baik tetap semangat nya ngan plis aing teh galike pisan pas si alika ngabaran ngan saukur ngomong aing hamil plis eta nyeredet pisan engke
anger,sekarang dah puasa full di rumah tapi sedih anying da gara2 si corona romadon teh sepi we ah kieu romadon di imah kahayang aing mah siateh corona goblog
fear,tos pisan ieu cibiru teh jauh palaur seeur nu teu leres wengi
sadness,dina tempat ikhlas tapi masih teu wasa ningal fotona wilujeng bageur mugia sing ditempatkeun anu sakuduna
sadness,tiap sholat pasti ceurik inget indung jeung inget si eta
sadness,curucud cai soca teu kiat eungap duh 
fear,walahhhh salah wktu macana wayah kieu jd we harap harap cemas beuki hese peureum sieun diphpkeun
